,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB
6,Michael Porter Jr.,Nuggets,points,13.5,-120,over,0.7800795451009584,2.1507291634254537,0.5454545454545454
33,Michael Porter Jr.,Nuggets,fgm,4.5,-160,over,0.7457851172240102,1.0595040774450828,0.6153846153846154
4,Mike Conley,Timberwolves,points,11.5,-105,over,0.7191957631831423,2.0207205453592456,0.5121951219512195
26,Mike Conley,Timberwolves,fgm,3.5,-125,over,0.6996569339501318,1.2969124055511863,0.5555555555555556
1,Jaden McDaniels,Timberwolves,points,9.5,-130,over,0.6972486318797483,1.1679686666285427,0.5652173913043479
7,Nikola Jokic,Nuggets,points,30.5,-125,under,0.6821859707518635,1.1396737367667713,0.5555555555555556
42,Kentavious Caldwell-Pope,Nuggets,steals,1.5,-200,under,0.6771301507064273,0.07847613029820533,0.6666666666666666
19,Nikola Jokic,Nuggets,fg3m,1.5,-185,under,0.6771301507064273,0.21573224192788665,0.6491228070175439
10,Karl-Anthony Towns,Timberwolves,assists,3.5,-180,under,0.6740949731108485,0.24296090197326592,0.6428571428571428
40,Jamal Murray,Nuggets,steals,1.5,-150,under,0.6626272662068446,0.5218938850570378,0.6000000000000001
5,Jamal Murray,Nuggets,points,19.5,-120,over,0.648112429677842,0.9410306053802193,0.5454545454545454
45,Anthony Edwards,Timberwolves,blocks,0.5,-125,under,0.6440364210831414,0.7963277897482728,0.5555555555555556
27,Jaden McDaniels,Timberwolves,fgm,3.5,-130,over,0.640552227211231,0.6664235484070433,0.5652173913043479
2,Anthony Edwards,Timberwolves,points,27.5,-105,under,0.614953069162699,1.0031132942072993,0.5121951219512195
13,Jamal Murray,Nuggets,assists,5.5,-135,over,0.6102834946096254,0.3117267123430363,0.574468085106383
31,Jamal Murray,Nuggets,fgm,7.5,-120,over,0.5960644193813829,0.46392384432934364,0.5454545454545454
48,Michael Porter Jr.,Nuggets,blocks,0.5,115,under,0.5945205479701944,1.3910958906795896,0.46511627906976744
36,Anthony Edwards,Timberwolves,steals,1.5,-125,under,0.5918327134598557,0.3264944211387011,0.5555555555555556
32,Nikola Jokic,Nuggets,fgm,11.5,-135,under,0.5744917560606031,0.00020602497191646307,0.574468085106383
50,Nikola Jokic,Nuggets,blocks,0.5,130,under,0.571209063848815,1.568904234261372,0.4347826086956522
16,Anthony Edwards,Timberwolves,fg3m,2.5,100,under,0.5697087466575106,0.6970874665751055,0.5
23,Jaden McDaniels,Timberwolves,rebounds,3.5,115,over,0.566529879633291,1.090196206057879,0.46511627906976744
25,Anthony Edwards,Timberwolves,fgm,9.5,-110,under,0.5610764089605083,0.35572935825939744,0.5238095238095238
34,Karl-Anthony Towns,Timberwolves,steals,0.5,-110,under,0.5488116360940265,0.2386565263520719,0.5238095238095238
14,Aaron Gordon,Nuggets,assists,4.5,105,over,0.5309978491871289,0.4427279541680713,0.48780487804878053
44,Aaron Gordon,Nuggets,steals,0.5,160,under,0.5272924240430487,1.8548015125596322,0.3846153846153846
12,Nikola Jokic,Nuggets,assists,8.5,-105,under,0.514869655717463,0.026108543908566872,0.5121951219512195
17,Mike Conley,Timberwolves,fg3m,2.5,135,over,0.5014635935134144,0.8921972237826195,0.425531914893617
9,Anthony Edwards,Timberwolves,assists,5.5,120,over,0.49491268590868187,0.44403954499550036,0.45454545454545453
24,Jamal Murray,Nuggets,rebounds,4.5,105,over,0.4942471987871635,0.0660337875684256,0.48780487804878053
47,Karl-Anthony Towns,Timberwolves,blocks,0.5,160,over,0.49338300763441034,1.4139790992473342,0.3846153846153846
41,Nikola Jokic,Nuggets,steals,1.5,115,under,0.48705992231926176,0.2358941649320636,0.46511627906976744
43,Michael Porter Jr.,Nuggets,steals,0.5,140,under,0.4867522559599715,0.8410270715196582,0.4166666666666667
49,Kentavious Caldwell-Pope,Nuggets,blocks,0.5,115,over,0.47270757595695134,0.08160644153722707,0.46511627906976744
20,Aaron Gordon,Nuggets,fg3m,0.5,145,under,0.46766642700990935,0.7289137308713896,0.4081632653061224
51,Jamal Murray,Nuggets,blocks,0.5,160,over,0.4511883639059735,0.8654487307776559,0.3846153846153846
